id,category,answer_kind,score,raw_output,judge_name
45_rand_swap,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
46_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
46_rand_swap,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
47_rand_swap,coding,human_preferred,3.0,3,hf:google/flan-t5-small
47_rand_swap,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
48_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
48_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
49,writing,human_preferred,5.0,5,hf:google/flan-t5-small
49,writing,human_nonpreferred,5.0,5,hf:google/flan-t5-small
50_rand_swap,reasoning,human_preferred,4.0,4,hf:google/flan-t5-small
50_rand_swap,reasoning,human_nonpreferred,4.0,4,hf:google/flan-t5-small
51_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
51_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
52_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
52_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
53_rand_swap,writing,human_preferred,3.0,3,hf:google/flan-t5-small
53_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
54,coding,human_preferred,1.0,1,hf:google/flan-t5-small
54,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
55,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
55,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
56,math,human_preferred,3.0,3,hf:google/flan-t5-small
56,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
57_rand_swap,writing,human_preferred,5.0,5,hf:google/flan-t5-small
57_rand_swap,writing,human_nonpreferred,5.0,5,hf:google/flan-t5-small
58,factual,human_preferred,3.0,3,hf:google/flan-t5-small
58,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
59_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
59_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
60_rand_swap,coding,human_preferred,1.0,1,hf:google/flan-t5-small
60_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
61,math,human_preferred,1.0,1,hf:google/flan-t5-small
61,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
62,writing,human_preferred,3.0,3,hf:google/flan-t5-small
62,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
63,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
63,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
64,coding,human_preferred,1.0,1,hf:google/flan-t5-small
64,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
65,math,human_preferred,2.0,2,hf:google/flan-t5-small
65,math,human_nonpreferred,2.0,2,hf:google/flan-t5-small
66,writing,human_preferred,4.0,4,hf:google/flan-t5-small
66,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
67_rand_swap,factual,human_preferred,4.0,4,hf:google/flan-t5-small
67_rand_swap,factual,human_nonpreferred,4.0,4,hf:google/flan-t5-small
68_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
68_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
69_rand_swap,coding,human_preferred,2.0,2,hf:google/flan-t5-small
69_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
70_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
70_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
71_rand_swap,writing,human_preferred,5.0,5,hf:google/flan-t5-small
71_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
72,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
72,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
73,factual,human_preferred,3.0,3,hf:google/flan-t5-small
73,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
74_rand_swap,coding,human_preferred,1.0,1,hf:google/flan-t5-small
74_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
75,math,human_preferred,2.0,2,hf:google/flan-t5-small
75,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
76_rand_swap,writing,human_preferred,5.0,5,hf:google/flan-t5-small
76_rand_swap,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
77,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
77,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
78_rand_swap,coding,human_preferred,3.0,3,hf:google/flan-t5-small
78_rand_swap,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
79_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
79_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
80_rand_swap,writing,human_preferred,4.0,4,hf:google/flan-t5-small
80_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
81,factual,human_preferred,1.0,1,hf:google/flan-t5-small
81,factual,human_nonpreferred,1.0,1,hf:google/flan-t5-small
82_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
82_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
83,coding,human_preferred,1.0,1,hf:google/flan-t5-small
83,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
84,math,human_preferred,4.0,4,hf:google/flan-t5-small
84,math,human_nonpreferred,4.0,4,hf:google/flan-t5-small
85_rand_swap,writing,human_preferred,1.0,1,hf:google/flan-t5-small
85_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
86_rand_swap,factual,human_preferred,3.0,3,hf:google/flan-t5-small
86_rand_swap,factual,human_nonpreferred,4.0,4,hf:google/flan-t5-small
87,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
87,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
88,coding,human_preferred,1.0,1,hf:google/flan-t5-small
88,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
89_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
89_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
90_rand_swap,writing,human_preferred,4.0,4,hf:google/flan-t5-small
90_rand_swap,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
91_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
91_rand_swap,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
92,factual,human_preferred,3.0,3,hf:google/flan-t5-small
92,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
93,coding,human_preferred,1.0,1,hf:google/flan-t5-small
93,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
94_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
94_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
95_rand_swap,writing,human_preferred,1.0,1,hf:google/flan-t5-small
95_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
96_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
96_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
97,coding,human_preferred,1.0,1,hf:google/flan-t5-small
97,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
98,math,human_preferred,1.0,1,hf:google/flan-t5-small
98,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
99,factual,human_preferred,4.0,4,hf:google/flan-t5-small
99,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
100,writing,human_preferred,3.0,3,hf:google/flan-t5-small
100,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
101_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
101_rand_swap,reasoning,human_nonpreferred,4.0,4,hf:google/flan-t5-small
102,math,human_preferred,3.0,3,hf:google/flan-t5-small
102,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
103,coding,human_preferred,1.0,1,hf:google/flan-t5-small
103,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
104,factual,human_preferred,3.0,3,hf:google/flan-t5-small
104,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
105_rand_swap,writing,human_preferred,3.0,3,hf:google/flan-t5-small
105_rand_swap,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
106,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
106,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
107_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
107_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
108_rand_swap,coding,human_preferred,3.0,3,hf:google/flan-t5-small
108_rand_swap,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
109_rand_swap,factual,human_preferred,1.0,1,hf:google/flan-t5-small
109_rand_swap,factual,human_nonpreferred,1.0,1,hf:google/flan-t5-small
110,writing,human_preferred,5.0,5,hf:google/flan-t5-small
110,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
111,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
111,reasoning,human_nonpreferred,4.0,4,hf:google/flan-t5-small
112_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
112_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
113,coding,human_preferred,1.0,1,hf:google/flan-t5-small
113,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
114_rand_swap,factual,human_preferred,4.0,4,hf:google/flan-t5-small
114_rand_swap,factual,human_nonpreferred,4.0,4,hf:google/flan-t5-small
115,writing,human_preferred,1.0,1,hf:google/flan-t5-small
115,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
116,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
116,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
117_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
117_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
118,coding,human_preferred,3.0,3,hf:google/flan-t5-small
118,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
119,factual,human_preferred,1.0,1,hf:google/flan-t5-small
119,factual,human_nonpreferred,3.0,3,hf:google/flan-t5-small
120_rand_swap,writing,human_preferred,4.0,4,hf:google/flan-t5-small
120_rand_swap,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
