id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
11_rand_swap,reasoning,"If Alice is older than Bob and Bob is older than Cara, who is youngest?",Alice is youngest because she was mentioned first.,Cara is youngest.,B,Ordering,baseline_pairwise,hf:google/flan-t5-small,A,A
12,math,What is 15% of 200?,15% of 200 is 30.,15% of 200 is 15.,A,Percentage,baseline_pairwise,hf:google/flan-t5-small,A,A
13_rand_swap,coding,What does a Python dictionary store?,It stores only numbers in sorted order.,It stores key-value pairs.,B,Python data structures,baseline_pairwise,hf:google/flan-t5-small,A,A
14_rand_swap,writing,Write a polite refusal to an invitation.,No. I am not coming.,"Thank you for inviting me. Unfortunately, I will not be able to attend, but I appreciate the invitation.",B,Tone,baseline_pairwise,hf:google/flan-t5-small,A,A
15,reasoning,Can a square have four equal sides and four right angles?,Yes. That is exactly the definition of a square.,"No. A square can only have equal sides, not right angles.",A,Geometry reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
16,math,What is 7 squared?,7 squared is 49.,7 squared is 14.,A,Arithmetic,baseline_pairwise,hf:google/flan-t5-small,A,A
17_rand_swap,factual_static,What gas do humans need to breathe?,Humans need helium to breathe.,Humans need oxygen to breathe.,B,Basic science,baseline_pairwise,hf:google/flan-t5-small,A,A
18,coding,"In Python, what symbol is used for comments?",# is used for single-line comments in Python.,// is used for single-line comments in Python.,A,Python syntax,baseline_pairwise,hf:google/flan-t5-small,A,A
19,writing,Summarize: 'The new policy will reduce costs but may inconvenience some customers.',The policy lowers costs but could inconvenience some customers.,The policy is perfect and has no disadvantages.,A,Balanced summary,baseline_pairwise,hf:google/flan-t5-small,A,A
20_rand_swap,reasoning,"If it is impossible for both A and B to happen together, what are the events called?","They are independent events, meaning they always happen together.",They are mutually exclusive events.,B,Probability concept,baseline_pairwise,hf:google/flan-t5-small,A,A
21,math,What is 100 divided by 4?,25,40,A,Division,baseline_pairwise,hf:google/flan-t5-small,A,A
22,coding,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,A,Web basics,baseline_pairwise,hf:google/flan-t5-small,A,A
23_rand_swap,writing,Write a professional apology.,Whatever happened was not important anyway.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,B,Professional tone,baseline_pairwise,hf:google/flan-t5-small,A,A
24_rand_swap,reasoning,Can humans breathe underwater without equipment?,"Yes, with enough practice humans can adapt.","No, humans cannot naturally extract oxygen from water.",B,Factual reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
25,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?","Yes. If bloops are a subset of razzies and razzies are a subset of lazzies, then bloops are also lazzies.","No, because bloops and lazzies were never directly compared.",A,syllogism,baseline_pairwise,hf:google/flan-t5-small,A,A
26_rand_swap,math,What is 15% of 240?,15% of 240 is 36.,42,A,basic arithmetic; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
27_rand_swap,writing,Write a polite email declining a meeting.,NO. I AM BUSY.,"Thank you for the invitation. Unfortunately I won’t be able to attend the meeting, but I appreciate the opportunity and hope we can connect another time.",B,tone quality,baseline_pairwise,hf:google/flan-t5-small,A,A
28_rand_swap,reasoning,Can a triangle have two right angles?,"No. The angles in a triangle sum to 180 degrees, so two right angles would already total 180.","Yes, in advanced geometry.",A,confident wrong; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
29,coding,"What does Python len([1,2,3]) return?",It returns 3.,"It returns the sum of the numbers, which is 6.",A,python basics,baseline_pairwise,hf:google/flan-t5-small,A,A
30,writing,Summarize climate change in one sentence.,Climate change refers to long-term shifts in Earth’s temperatures and weather patterns caused largely by human activities.,Climate change is when weather changes every day.,A,accuracy,baseline_pairwise,hf:google/flan-t5-small,A,A
31,reasoning,Which weighs more: 1kg of steel or 1kg of feathers?,Steel weighs more because it is denser.,They weigh the same because both are 1 kilogram.,B,classic reasoning; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
32,math,Solve: 9 * 8,72,81,A,multiplication,baseline_pairwise,hf:google/flan-t5-small,A,A
33,writing,Write a motivational quote.,YOU MUST WIN EVERY SECOND OR YOU ARE A FAILURE.,Progress is built one small step at a time.,B,style vs substance; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
34,reasoning,Is the statement 'all cats are animals' logically true?,"Yes, cats are a subset of animals.","No, because some animals are not cats.",A,logic,baseline_pairwise,hf:google/flan-t5-small,A,A
35_rand_swap,coding,What keyword defines a function in Python?,The function keyword defines a function.,The def keyword defines a function.,B,python syntax,baseline_pairwise,hf:google/flan-t5-small,A,A
36,math,What is the square root of 64?,8,16,A,basic math,baseline_pairwise,hf:google/flan-t5-small,A,A
37,writing,Write a professional apology.,Whatever happened was not important anyway.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,B,professional tone; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
38,reasoning,Can humans breathe underwater without equipment?,"No, humans cannot naturally extract oxygen from water.","Yes, with enough practice humans can adapt.",A,factuality,baseline_pairwise,hf:google/flan-t5-small,A,A
39,coding,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,A,web basics,baseline_pairwise,hf:google/flan-t5-small,A,A
40,math,What is 7 squared?,49,14,A,powers,baseline_pairwise,hf:google/flan-t5-small,A,A
41,writing,Explain teamwork briefly.,Teamwork means everybody works separately.,Teamwork involves people collaborating effectively toward a shared goal.,B,clarity; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
42_rand_swap,reasoning,"If today is Monday, what day comes after Tuesday?",Sunday,Wednesday,B,simple reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
43_rand_swap,coding,What symbol starts a comment in Python?,//,#,B,python syntax,baseline_pairwise,hf:google/flan-t5-small,A,A
44_rand_swap,math,What is 100 divided by 4?,40,25,B,division,baseline_pairwise,hf:google/flan-t5-small,A,A
45_rand_swap,writing,Write a concise product description for a water bottle.,A lightweight reusable water bottle designed for everyday hydration.,Bottle with water functionality and advanced liquid technology.,A,concise quality; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
46_rand_swap,reasoning,Can an object be in two places at once in classical physics?,"No, not in classical physics.","Yes, ordinary objects regularly exist in two places at once.",A,science reasoning; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
47_rand_swap,coding,What does CSS primarily control in web pages?,CSS stores data in databases.,CSS controls the appearance and layout of web pages.,B,web development,baseline_pairwise,hf:google/flan-t5-small,A,A
48_rand_swap,math,What is 11 + 13?,25,24,B,addition,baseline_pairwise,hf:google/flan-t5-small,A,A
49,writing,Write a friendly greeting.,STATE YOUR PURPOSE IMMEDIATELY.,Hi there! Hope you’re having a great day.,B,tone; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
50_rand_swap,reasoning,Does the Earth orbit the Sun?,"Yes, the Earth revolves around the Sun.","No, the Sun revolves around Earth.",A,basic science,baseline_pairwise,hf:google/flan-t5-small,A,A
51_rand_swap,reasoning,"If every student in a class passed the exam, and Maria is in the class, did Maria pass?","Not necessarily, because Maria may have taken a different exam.","Yes. Since Maria is in the class and every student passed, Maria passed.",B,basic logical inference,baseline_pairwise,hf:google/flan-t5-small,A,A
52_rand_swap,math,What is 18 + 27?,45,46,A,addition; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
53_rand_swap,writing,Rewrite this sentence more formally: 'I can't come today.',No coming today.,I regret that I will be unable to attend today.,B,formal rewriting,baseline_pairwise,hf:google/flan-t5-small,A,A
54,coding,"In Python, what does print(type(3.14)) output?",It outputs <class 'int'> because 3.14 is a number.,It outputs <class 'float'> because 3.14 is a floating-point number.,B,python data types,baseline_pairwise,hf:google/flan-t5-small,A,A
55,reasoning,"If a store closes at 9 PM and it is currently 8 PM, is the store open?","Yes, assuming normal hours, it is still before closing time.","No, because 8 PM is after 9 PM.",A,time reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
56,math,What is 6 factorial?,36,720,B,factorial; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
57_rand_swap,writing,Write a short thank-you message after an interview.,Thanks. Bye.,Thank you for taking the time to speak with me today. I appreciated learning more about the role and your team.,B,professional tone,baseline_pairwise,hf:google/flan-t5-small,A,A
58,factual,What planet is known as the Red Planet?,Venus,Mars,B,basic factual QA,baseline_pairwise,hf:google/flan-t5-small,A,A
59_rand_swap,reasoning,"If John is taller than Alex, and Alex is taller than Sam, who is tallest?",Sam is tallest because he is mentioned last.,John is tallest.,B,transitive reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
60_rand_swap,coding,Which Python data structure uses key-value pairs?,A list stores key-value pairs by default.,A dictionary stores key-value pairs.,B,python basics,baseline_pairwise,hf:google/flan-t5-small,A,A
61,math,What is 3/4 as a decimal?,0.34,0.75,B,fraction to decimal; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
62,writing,Make this sentence clearer: 'The thing was done by them fast.',They completed the task quickly.,The thing received fast completion by the people.,A,clarity,baseline_pairwise,hf:google/flan-t5-small,A,A
63,reasoning,Can a number be both even and odd?,"No, an integer cannot be both even and odd.","Yes, if it is very large.",A,basic number reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
64,coding,What does SQL SELECT usually do?,It retrieves data from a database.,It deletes all tables in a database.,A,database basics,baseline_pairwise,hf:google/flan-t5-small,A,A
65,math,What is 25% of 80?,40,20,B,percentage; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
66,writing,Write a one-sentence description of a laptop.,Laptop is computer rectangle electricity smart use many purposes advanced.,"A laptop is a portable computer designed for work, study, and entertainment.",B,concise writing; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
67_rand_swap,factual,What gas do plants mainly absorb during photosynthesis?,Oxygen,Carbon dioxide,B,science factual,baseline_pairwise,hf:google/flan-t5-small,A,A
68_rand_swap,reasoning,"If the road is wet after rain, does that prove it rained?","No. Rain could explain the wet road, but other causes are possible.",Yes. A wet road always proves rain happened.,A,causal reasoning; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
69_rand_swap,coding,"In Java, which keyword is used to create a subclass?",inherits,extends,B,java syntax,baseline_pairwise,hf:google/flan-t5-small,A,A
70_rand_swap,math,What is 14 × 5?,70,60,A,multiplication; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
71_rand_swap,writing,Write a polite reminder email in one sentence.,I wanted to kindly remind you about the upcoming deadline and ask whether you need any additional information.,"You forgot the deadline, so respond immediately.",A,politeness; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
72,reasoning,"If all roses are flowers, does it follow that all flowers are roses?","Yes, because roses and flowers are the same category.",No. All roses being flowers does not mean all flowers are roses.,B,converse error; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
73,factual,What is the capital of France?,Paris,Berlin,A,basic factual QA,baseline_pairwise,hf:google/flan-t5-small,A,A
74_rand_swap,coding,What does a for loop usually do?,It permanently stops a program from running.,It repeats a block of code over a sequence or range.,B,programming concept,baseline_pairwise,hf:google/flan-t5-small,A,A
75,math,What is 2^5?,10,32,B,exponents; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
76_rand_swap,writing,Summarize this idea: exercise is good for health.,Regular exercise supports physical and mental health.,Exercise is movement and movement can exist in places.,A,summary quality; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
77,reasoning,"If a cup is empty, can it contain coffee?","No, if it is empty, it does not contain coffee.","Yes, because coffee could be invisible.",A,contradiction,baseline_pairwise,hf:google/flan-t5-small,A,A
78_rand_swap,coding,What file extension is commonly used for Python files?,.py,.java,A,file extension; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
79_rand_swap,math,What is 81 divided by 9?,8,9,B,division,baseline_pairwise,hf:google/flan-t5-small,A,A
80_rand_swap,writing,Write a neutral headline about a new school policy.,School Introduces New Attendance Policy,Terrible School Policy Makes Everyone Angry,A,neutrality; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
81,factual,How many continents are commonly taught in the seven-continent model?,7,5,A,basic geography,baseline_pairwise,hf:google/flan-t5-small,A,A
82_rand_swap,reasoning,"If the statement 'No birds are mammals' is false, what does that imply?",It implies all birds are mammals.,It implies at least one bird is a mammal.,B,logic negation,baseline_pairwise,hf:google/flan-t5-small,A,A
83,coding,Which command is commonly used to install Python packages with pip?,pip install package_name,python delete package_name,A,python tooling,baseline_pairwise,hf:google/flan-t5-small,A,A
84,math,What is the perimeter of a square with side length 6?,24,36,A,geometry,baseline_pairwise,hf:google/flan-t5-small,A,A
85_rand_swap,writing,Improve this sentence: 'The report is bad and stuff.',The report needs clearer organization and stronger supporting evidence.,The report is bad stuff because badness exists.,A,specific feedback; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
86_rand_swap,factual,Which ocean is the largest?,The Atlantic Ocean,The Pacific Ocean,B,geography factual,baseline_pairwise,hf:google/flan-t5-small,A,A
87,reasoning,"If Anna is older than Ben, and Ben is older than Cara, is Cara younger than Anna?","Yes, Cara is younger than Anna.","No, Cara must be older than Anna.",A,age ordering,baseline_pairwise,hf:google/flan-t5-small,A,A
88,coding,What does Git commit do?,It saves a snapshot of changes in a repository.,It deletes the repository from GitHub.,A,git basics,baseline_pairwise,hf:google/flan-t5-small,A,A
89_rand_swap,math,What is 12 + 15 + 8?,34,35,B,addition,baseline_pairwise,hf:google/flan-t5-small,A,A
90_rand_swap,writing,Write a concise apology for being late.,I apologize for being late and appreciate your patience.,Late happened due to time complexity and external delay factors.,A,conciseness; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
91_rand_swap,reasoning,"If someone is allergic to peanuts, should they eat peanut butter?","Yes, because butter cancels the peanut allergy.","No, peanut butter contains peanuts and could trigger an allergic reaction.",B,commonsense reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
92,factual,What is the boiling point of water at sea level in Celsius?,100°C,50°C,A,science factual,baseline_pairwise,hf:google/flan-t5-small,A,A
93,coding,What does Boolean mean in programming?,A value that is usually true or false.,A number with many decimal places.,A,programming concept,baseline_pairwise,hf:google/flan-t5-small,A,A
94_rand_swap,math,What is 0.2 + 0.3 in ordinary decimal arithmetic?,0.6,0.5,B,decimal addition,baseline_pairwise,hf:google/flan-t5-small,A,A
95_rand_swap,writing,Write a professional subject line for a job application email.,Application for Software Engineering Internship,PLEASE HIRE ME NOW,A,professional writing; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
96_rand_swap,reasoning,"If a train leaves before noon and arrives after noon, did the trip cross noon?","No, because noon is not a place.","Yes, the trip included the noon time boundary.",B,temporal reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
97,coding,"In HTML, which tag is commonly used for a paragraph?",<paragraph>,<p>,B,html basics; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
98,math,What is 5 cubed?,125,15,A,powers,baseline_pairwise,hf:google/flan-t5-small,A,A
99,factual,Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,A,literature factual,baseline_pairwise,hf:google/flan-t5-small,A,A
100,writing,Make this request more polite: 'Send me the file.',Send file immediately.,Could you please send me the file when you have a chance?,B,politeness; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
101_rand_swap,reasoning,"If all squares are rectangles, is every rectangle a square?","Yes, because rectangles and squares both have four sides.","No. Every square is a rectangle, but not every rectangle is a square.",B,category reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
102,math,What is 45 - 18?,27,23,A,subtraction,baseline_pairwise,hf:google/flan-t5-small,A,A
103,coding,What does an if statement do?,It repeats code forever without checking anything.,It runs code conditionally based on whether a condition is true.,B,control flow; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
104,factual,What is H2O commonly known as?,Water,Salt,A,chemistry factual,baseline_pairwise,hf:google/flan-t5-small,A,A
105_rand_swap,writing,Write a brief description of a library.,"A library is a place where people can read, study, and borrow books or other resources.",A library is just a building with old paper.,A,description quality; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
106,reasoning,"If a box contains only red balls, can you draw a blue ball from it?","No, if it contains only red balls, a blue ball cannot be drawn from it.","Yes, if you draw very carefully.",A,set reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
107_rand_swap,math,What is 30% of 50?,30,15,B,percentage,baseline_pairwise,hf:google/flan-t5-small,A,A
108_rand_swap,coding,Which language is mainly used for styling web pages?,SQL,CSS,B,web basics,baseline_pairwise,hf:google/flan-t5-small,A,A
109_rand_swap,factual,What is the primary language spoken in Spain?,German,Spanish,B,basic factual QA,baseline_pairwise,hf:google/flan-t5-small,A,A
110,writing,Write a calm response to a customer complaint.,You are wrong and should stop complaining.,I’m sorry for the inconvenience. We will review the issue and work to resolve it as soon as possible.,B,customer support tone; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
111,reasoning,"If two events are mutually exclusive, can they happen at the same time?","No, mutually exclusive events cannot occur simultaneously.","Yes, mutually exclusive means they always happen together.",A,probability concept,baseline_pairwise,hf:google/flan-t5-small,A,A
112_rand_swap,math,What is 9 + 10?,19,21,A,addition; B correct,baseline_pairwise,hf:google/flan-t5-small,A,A
113,coding,What does JSON commonly represent?,Structured data using key-value pairs and arrays.,A programming language used only for drawing images.,A,data format,baseline_pairwise,hf:google/flan-t5-small,A,A
114_rand_swap,factual,What organ pumps blood through the body?,The lungs,The heart,B,biology factual,baseline_pairwise,hf:google/flan-t5-small,A,A
115,writing,Rewrite this to sound less aggressive: 'You did this wrong.',You failed and should fix it.,This may need some revision to better meet the requirements.,B,tone revision; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
116,reasoning,"If the light is green, are cars usually allowed to go?","Yes, in normal traffic rules, green means vehicles may proceed if safe.","No, green means stop immediately.",A,commonsense,baseline_pairwise,hf:google/flan-t5-small,A,A
117_rand_swap,math,What is the area of a rectangle with length 8 and width 3?,11,24,B,geometry,baseline_pairwise,hf:google/flan-t5-small,A,A
118,coding,What does RAM temporarily store?,Permanent files after the computer is turned off.,Data and instructions currently being used by the computer.,B,computer fundamentals; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
119,factual,What is the closest star to Earth?,Sirius,The Sun,B,astronomy factual; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
120_rand_swap,writing,Write a short project status update.,"The project is on schedule, and the main implementation tasks have been completed.",Project exists and things are happening in unspecified forms.,A,status update quality; swapped,baseline_pairwise,hf:google/flan-t5-small,A,A
1_swapped,math,Compute 17*23 and explain briefly.,The answer is definitely 401. This follows from multiplying the numbers in a straightforward way.,"17*23 = 391. Since 17*20=340 and 17*3=51, the total is 391.",B,Correct concise vs confident wrong,position_swap_raw,hf:google/flan-t5-small,A,A
2_rand_swap_swapped,math,A bag has 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,"There are 5 balls total and 3 are red, so the probability is 3/5.",The probability is 2/5 because there are two colors and red is one of them.,A,Probability,position_swap_raw,hf:google/flan-t5-small,A,A
3_rand_swap_swapped,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?",Yes. The relation is transitive: bloop -> razzy -> lazzy.,No. Knowing two group relations never lets us conclude anything definite.,A,Syllogism,position_swap_raw,hf:google/flan-t5-small,A,A
4_rand_swap_swapped,writing,Rewrite: 'The experiment was not successful because the sample was too small.',The experiment failed because the sample size was too small.,"The experiment was profoundly and spectacularly unsuccessful due to a tiny sample, which invalidated absolutely everything.",A,Faithful paraphrase,position_swap_raw,hf:google/flan-t5-small,A,A
5_swapped,factual_static,What is the capital of France?,Lyon is the capital of France.,Paris is the capital of France.,B,Simple factual,position_swap_raw,hf:google/flan-t5-small,A,A
6_swapped,coding,"In Python, what does len([10,20,30]) return?",It returns 60 because len adds the values.,It returns 3 because the list has three elements.,B,Python basics,position_swap_raw,hf:google/flan-t5-small,A,A
7_swapped,reasoning,A clock shows 3:00. What is the angle between the hour and minute hands?,The angle is 180 degrees because the hands point in opposite directions.,"At 3:00, the hands form a right angle, so the angle is 90 degrees.",B,Simple spatial reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
8_rand_swap_swapped,math,Solve for x: 2x + 5 = 13.,"Subtract 5 to get 2x=8, so x=4.","Subtract 2 to get x+5=13, so x=8.",A,Linear equation,position_swap_raw,hf:google/flan-t5-small,A,A
9_rand_swap_swapped,writing,"Make this sentence more concise: 'Due to the fact that it was raining, the match was canceled.'","Because it was raining, the match was canceled.",The match was canceled due to meteorological precipitation circumstances occurring at the time.,A,Conciseness,position_swap_raw,hf:google/flan-t5-small,A,A
10_rand_swap_swapped,factual_static,Which planet is known as the Red Planet?,Mars is known as the Red Planet.,Jupiter is known as the Red Planet.,A,Factual,position_swap_raw,hf:google/flan-t5-small,A,A
11_rand_swap_swapped,reasoning,"If Alice is older than Bob and Bob is older than Cara, who is youngest?",Cara is youngest.,Alice is youngest because she was mentioned first.,A,Ordering,position_swap_raw,hf:google/flan-t5-small,A,A
12_swapped,math,What is 15% of 200?,15% of 200 is 15.,15% of 200 is 30.,B,Percentage,position_swap_raw,hf:google/flan-t5-small,A,A
13_rand_swap_swapped,coding,What does a Python dictionary store?,It stores key-value pairs.,It stores only numbers in sorted order.,A,Python data structures,position_swap_raw,hf:google/flan-t5-small,A,A
14_rand_swap_swapped,writing,Write a polite refusal to an invitation.,"Thank you for inviting me. Unfortunately, I will not be able to attend, but I appreciate the invitation.",No. I am not coming.,A,Tone,position_swap_raw,hf:google/flan-t5-small,A,A
15_swapped,reasoning,Can a square have four equal sides and four right angles?,"No. A square can only have equal sides, not right angles.",Yes. That is exactly the definition of a square.,B,Geometry reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
16_swapped,math,What is 7 squared?,7 squared is 14.,7 squared is 49.,B,Arithmetic,position_swap_raw,hf:google/flan-t5-small,A,A
17_rand_swap_swapped,factual_static,What gas do humans need to breathe?,Humans need oxygen to breathe.,Humans need helium to breathe.,A,Basic science,position_swap_raw,hf:google/flan-t5-small,A,A
18_swapped,coding,"In Python, what symbol is used for comments?",// is used for single-line comments in Python.,# is used for single-line comments in Python.,B,Python syntax,position_swap_raw,hf:google/flan-t5-small,A,A
19_swapped,writing,Summarize: 'The new policy will reduce costs but may inconvenience some customers.',The policy is perfect and has no disadvantages.,The policy lowers costs but could inconvenience some customers.,B,Balanced summary,position_swap_raw,hf:google/flan-t5-small,A,A
20_rand_swap_swapped,reasoning,"If it is impossible for both A and B to happen together, what are the events called?",They are mutually exclusive events.,"They are independent events, meaning they always happen together.",A,Probability concept,position_swap_raw,hf:google/flan-t5-small,A,A
21_swapped,math,What is 100 divided by 4?,40,25,B,Division,position_swap_raw,hf:google/flan-t5-small,A,A
22_swapped,coding,What does HTML stand for?,HighText Machine Language,HyperText Markup Language,B,Web basics,position_swap_raw,hf:google/flan-t5-small,A,A
23_rand_swap_swapped,writing,Write a professional apology.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,Whatever happened was not important anyway.,A,Professional tone,position_swap_raw,hf:google/flan-t5-small,A,A
24_rand_swap_swapped,reasoning,Can humans breathe underwater without equipment?,"No, humans cannot naturally extract oxygen from water.","Yes, with enough practice humans can adapt.",A,Factual reasoning,position_swap_raw,hf:google/flan-t5-small,A,A
25_swapped,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?","No, because bloops and lazzies were never directly compared.","Yes. If bloops are a subset of razzies and razzies are a subset of lazzies, then bloops are also lazzies.",B,syllogism,position_swap_raw,hf:google/flan-t5-small,A,A
26_rand_swap_swapped,math,What is 15% of 240?,42,15% of 240 is 36.,B,basic arithmetic; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
27_rand_swap_swapped,writing,Write a polite email declining a meeting.,"Thank you for the invitation. Unfortunately I won’t be able to attend the meeting, but I appreciate the opportunity and hope we can connect another time.",NO. I AM BUSY.,A,tone quality,position_swap_raw,hf:google/flan-t5-small,A,A
28_rand_swap_swapped,reasoning,Can a triangle have two right angles?,"Yes, in advanced geometry.","No. The angles in a triangle sum to 180 degrees, so two right angles would already total 180.",B,confident wrong; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
29_swapped,coding,"What does Python len([1,2,3]) return?","It returns the sum of the numbers, which is 6.",It returns 3.,B,python basics,position_swap_raw,hf:google/flan-t5-small,A,A
30_swapped,writing,Summarize climate change in one sentence.,Climate change is when weather changes every day.,Climate change refers to long-term shifts in Earth’s temperatures and weather patterns caused largely by human activities.,B,accuracy,position_swap_raw,hf:google/flan-t5-small,A,A
31_swapped,reasoning,Which weighs more: 1kg of steel or 1kg of feathers?,They weigh the same because both are 1 kilogram.,Steel weighs more because it is denser.,A,classic reasoning; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
32_swapped,math,Solve: 9 * 8,81,72,B,multiplication,position_swap_raw,hf:google/flan-t5-small,A,A
33_swapped,writing,Write a motivational quote.,Progress is built one small step at a time.,YOU MUST WIN EVERY SECOND OR YOU ARE A FAILURE.,A,style vs substance; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
34_swapped,reasoning,Is the statement 'all cats are animals' logically true?,"No, because some animals are not cats.","Yes, cats are a subset of animals.",B,logic,position_swap_raw,hf:google/flan-t5-small,A,A
35_rand_swap_swapped,coding,What keyword defines a function in Python?,The def keyword defines a function.,The function keyword defines a function.,A,python syntax,position_swap_raw,hf:google/flan-t5-small,A,A
36_swapped,math,What is the square root of 64?,16,8,B,basic math,position_swap_raw,hf:google/flan-t5-small,A,A
37_swapped,writing,Write a professional apology.,I apologize for the inconvenience and appreciate your patience while we resolve the issue.,Whatever happened was not important anyway.,A,professional tone; swapped,position_swap_raw,hf:google/flan-t5-small,A,A
